Gaps of 0s and 1s (Length, Start Position, Gap Type):
Gap Type: 0, Length: 1, Start Position: X9558
Gap Type: 0, Length: 1, Start Position: X9560
Gap Type: 0, Length: 1, Start Position: X9565
Gap Type: 0, Length: 1, Start Position: X9567
Gap Type: 0, Length: 1, Start Position: X9571
Gap Type: 0, Length: 1, Start Position: X9577
Gap Type: 0, Length: 3, Start Position: X9581
Gap Type: 0, Length: 2, Start Position: X9585
Gap Type: 0, Length: 1, Start Position: X9588
Gap Type: 0, Length: 5, Start Position: X9590
Gap Type: 0, Length: 3, Start Position: X9596
Gap Type: 0, Length: 2, Start Position: X9601
Gap Type: 0, Length: 2, Start Position: X9605
Gap Type: 0, Length: 3, Start Position: X9608
Gap Type: 0, Length: 2, Start Position: X9612
Gap Type: 0, Length: 5, Start Position: X9615
Gap Type: 0, Length: 4, Start Position: X9621
Gap Type: 0, Length: 1, Start Position: X9626
Gap Type: 0, Length: 6, Start Position: X9628
Gap Type: 0, Length: 3, Start Position: X9635
Gap Type: 0, Length: 2, Start Position: X9640
Gap Type: 0, Length: 1, Start Position: X9646
Gap Type: 0, Length: 2, Start Position: X9648
Gap Type: 0, Length: 1, Start Position: X9651
Gap Type: 0, Length: 1, Start Position: X9653
Gap Type: 0, Length: 2, Start Position: X9655
Gap Type: 0, Length: 1, Start Position: X9660
Gap Type: 0, Length: 3, Start Position: X9662
Gap Type: 0, Length: 3, Start Position: X9666
Gap Type: 0, Length: 1, Start Position: X9670
Gap Type: 0, Length: 2, Start Position: X9672
Gap Type: 0, Length: 6, Start Position: X9675
Gap Type: 0, Length: 1, Start Position: X9682
Gap Type: 0, Length: 2, Start Position: X9684
Gap Type: 0, Length: 1, Start Position: X9689
Gap Type: 0, Length: 1, Start Position: X9692
Gap Type: 0, Length: 2, Start Position: X9695
Gap Type: 0, Length: 1, Start Position: X9700
Gap Type: 0, Length: 5, Start Position: X9702
Gap Type: 0, Length: 2, Start Position: X9714
Gap Type: 0, Length: 1, Start Position: X9717
Gap Type: 0, Length: 1, Start Position: X9721
Gap Type: 0, Length: 2, Start Position: X9724
Gap Type: 0, Length: 6, Start Position: X9728
Gap Type: 0, Length: 1, Start Position: X9736
Gap Type: 0, Length: 1, Start Position: X9738
Gap Type: 0, Length: 1, Start Position: X9740
Gap Type: 0, Length: 1, Start Position: X9742
Gap Type: 0, Length: 2, Start Position: X9745
Gap Type: 0, Length: 1, Start Position: X9748
Gap Type: 0, Length: 6, Start Position: X9750
Gap Type: 0, Length: 3, Start Position: X9757
Gap Type: 0, Length: 2, Start Position: X9761
Gap Type: 0, Length: 2, Start Position: X9764
Gap Type: 0, Length: 2, Start Position: X9769
Gap Type: 0, Length: 1, Start Position: X9776
Gap Type: 0, Length: 2, Start Position: X9779
Gap Type: 0, Length: 1, Start Position: X9782
Gap Type: 0, Length: 4, Start Position: X9785
Gap Type: 0, Length: 1, Start Position: X9792
Gap Type: 0, Length: 2, Start Position: X9795
Gap Type: 0, Length: 5, Start Position: X9798
Gap Type: 0, Length: 3, Start Position: X9805
Gap Type: 0, Length: 1, Start Position: X9810
Gap Type: 0, Length: 2, Start Position: X9816
Gap Type: 0, Length: 1, Start Position: X9819
Gap Type: 0, Length: 3, Start Position: X9822
Gap Type: 0, Length: 1, Start Position: X9826
Gap Type: 0, Length: 1, Start Position: X9828
Gap Type: 0, Length: 1, Start Position: X9830
Gap Type: 0, Length: 2, Start Position: X9836
Gap Type: 0, Length: 3, Start Position: X9840
Gap Type: 0, Length: 1, Start Position: X9844
Gap Type: 0, Length: 1, Start Position: X9846
Gap Type: 0, Length: 1, Start Position: X9850
Gap Type: 0, Length: 3, Start Position: X9852
Gap Type: 0, Length: 1, Start Position: X9856
Gap Type: 0, Length: 1, Start Position: X9858
Gap Type: 0, Length: 1, Start Position: X9860
Gap Type: 0, Length: 5, Start Position: X9863
Gap Type: 0, Length: 1, Start Position: X9870
Gap Type: 0, Length: 4, Start Position: X9872
Gap Type: 0, Length: 1, Start Position: X9877
Gap Type: 0, Length: 1, Start Position: X9889
Gap Type: 0, Length: 1, Start Position: X9891
Gap Type: 0, Length: 1, Start Position: X9893
Gap Type: 0, Length: 1, Start Position: X9895
Gap Type: 0, Length: 2, Start Position: X9897
Gap Type: 0, Length: 2, Start Position: X9900
Gap Type: 0, Length: 1, Start Position: X9903
Gap Type: 0, Length: 1, Start Position: X9905
Gap Type: 0, Length: 3, Start Position: X9909
Gap Type: 0, Length: 1, Start Position: X9913
Gap Type: 0, Length: 1, Start Position: X9915
Gap Type: 0, Length: 1, Start Position: X9918
Gap Type: 0, Length: 3, Start Position: X9920
Gap Type: 0, Length: 4, Start Position: X9925
Gap Type: 0, Length: 1, Start Position: X9930
Gap Type: 0, Length: 1, Start Position: X9932
Gap Type: 0, Length: 2, Start Position: X9934
Gap Type: 0, Length: 2, Start Position: X9937
Gap Type: 0, Length: 1, Start Position: X9940
Gap Type: 0, Length: 3, Start Position: X9943
Gap Type: 0, Length: 2, Start Position: X9947
Gap Type: 0, Length: 1, Start Position: X9951
Gap Type: 0, Length: 2, Start Position: X9953
Gap Type: 0, Length: 2, Start Position: X9959
Gap Type: 0, Length: 2, Start Position: X9962
Gap Type: 0, Length: 1, Start Position: X9965
Gap Type: 0, Length: 1, Start Position: X9967
Gap Type: 0, Length: 2, Start Position: X9969
Gap Type: 0, Length: 2, Start Position: X9973
Gap Type: 0, Length: 1, Start Position: X9976
Gap Type: 0, Length: 1, Start Position: X9981
Gap Type: 0, Length: 4, Start Position: X9984
Gap Type: 0, Length: 2, Start Position: X9989
Gap Type: 0, Length: 1, Start Position: X9994
Gap Type: 0, Length: 1, Start Position: X9996
Gap Type: 0, Length: 2, Start Position: X9998
Gap Type: 1, Length: 2, Start Position: X7
Gap Type: 1, Length: 1, Start Position: X12
Gap Type: 1, Length: 1, Start Position: X14
Gap Type: 1, Length: 2, Start Position: X16
Gap Type: 1, Length: 1, Start Position: X19
Gap Type: 1, Length: 3, Start Position: X25
Gap Type: 1, Length: 2, Start Position: X29
Gap Type: 1, Length: 1, Start Position: X36
Gap Type: 1, Length: 6, Start Position: X38
Gap Type: 1, Length: 4, Start Position: X45
Gap Type: 1, Length: 2, Start Position: X55
Gap Type: 1, Length: 1, Start Position: X59
Gap Type: 1, Length: 1, Start Position: X61
Gap Type: 1, Length: 3, Start Position: X64
Gap Type: 1, Length: 1, Start Position: X72
Gap Type: 1, Length: 2, Start Position: X74
Gap Type: 1, Length: 4, Start Position: X77
Gap Type: 1, Length: 3, Start Position: X82
Gap Type: 1, Length: 3, Start Position: X87
Gap Type: 1, Length: 6, Start Position: X91
Gap Type: 1, Length: 1, Start Position: X98
Gap Type: 1, Length: 1, Start Position: X103
Gap Type: 1, Length: 1, Start Position: X106
Gap Type: 1, Length: 2, Start Position: X109
Gap Type: 1, Length: 2, Start Position: X112
Gap Type: 1, Length: 2, Start Position: X115
Gap Type: 1, Length: 2, Start Position: X119
Gap Type: 1, Length: 1, Start Position: X123
Gap Type: 1, Length: 3, Start Position: X128
Gap Type: 1, Length: 1, Start Position: X132
Gap Type: 1, Length: 3, Start Position: X136
Gap Type: 1, Length: 1, Start Position: X144
Gap Type: 1, Length: 2, Start Position: X146
Gap Type: 1, Length: 2, Start Position: X149
Gap Type: 1, Length: 2, Start Position: X155
Gap Type: 1, Length: 1, Start Position: X158
Gap Type: 1, Length: 1, Start Position: X161
Gap Type: 1, Length: 1, Start Position: X163
Gap Type: 1, Length: 2, Start Position: X166
Gap Type: 1, Length: 2, Start Position: X169
Gap Type: 1, Length: 2, Start Position: X172
Gap Type: 1, Length: 5, Start Position: X175
Gap Type: 1, Length: 3, Start Position: X182
Gap Type: 1, Length: 1, Start Position: X187
Gap Type: 1, Length: 1, Start Position: X191
Gap Type: 1, Length: 3, Start Position: X193
Gap Type: 1, Length: 1, Start Position: X198
Gap Type: 1, Length: 1, Start Position: X200
Gap Type: 1, Length: 1, Start Position: X202
Gap Type: 1, Length: 5, Start Position: X206
Gap Type: 1, Length: 2, Start Position: X214
Gap Type: 1, Length: 2, Start Position: X217
Gap Type: 1, Length: 1, Start Position: X220
Gap Type: 1, Length: 6, Start Position: X223
Gap Type: 1, Length: 3, Start Position: X230
Gap Type: 1, Length: 1, Start Position: X234
Gap Type: 1, Length: 1, Start Position: X236
Gap Type: 1, Length: 1, Start Position: X238
Gap Type: 1, Length: 3, Start Position: X246
Gap Type: 1, Length: 4, Start Position: X251
Gap Type: 1, Length: 1, Start Position: X256
Gap Type: 1, Length: 3, Start Position: X258
Gap Type: 1, Length: 2, Start Position: X262
Gap Type: 1, Length: 1, Start Position: X265
Gap Type: 1, Length: 1, Start Position: X270
Gap Type: 1, Length: 3, Start Position: X274
Gap Type: 1, Length: 1, Start Position: X278
Gap Type: 1, Length: 1, Start Position: X281
Gap Type: 1, Length: 1, Start Position: X283
Gap Type: 1, Length: 1, Start Position: X285
Gap Type: 1, Length: 2, Start Position: X289
Gap Type: 1, Length: 1, Start Position: X292
Gap Type: 1, Length: 1, Start Position: X301
Gap Type: 1, Length: 1, Start Position: X303
Gap Type: 1, Length: 2, Start Position: X305
Gap Type: 1, Length: 1, Start Position: X310
Gap Type: 1, Length: 1, Start Position: X312
Gap Type: 1, Length: 1, Start Position: X316
Gap Type: 1, Length: 1, Start Position: X321
Gap Type: 1, Length: 1, Start Position: X324
Gap Type: 1, Length: 2, Start Position: X327
Gap Type: 1, Length: 4, Start Position: X330
Gap Type: 1, Length: 1, Start Position: X335
Gap Type: 1, Length: 1, Start Position: X337
Gap Type: 1, Length: 2, Start Position: X341
Gap Type: 1, Length: 7, Start Position: X354
Gap Type: 1, Length: 2, Start Position: X363
Gap Type: 1, Length: 2, Start Position: X368
Gap Type: 1, Length: 2, Start Position: X372
Gap Type: 1, Length: 3, Start Position: X377
Gap Type: 1, Length: 1, Start Position: X382
Gap Type: 1, Length: 2, Start Position: X384
Gap Type: 1, Length: 2, Start Position: X387
Gap Type: 1, Length: 1, Start Position: X390
Gap Type: 1, Length: 1, Start Position: X394
Gap Type: 1, Length: 6, Start Position: X396
Gap Type: 1, Length: 2, Start Position: X404
Gap Type: 1, Length: 2, Start Position: X407
Gap Type: 1, Length: 2, Start Position: X411
Gap Type: 1, Length: 1, Start Position: X415
Gap Type: 1, Length: 6, Start Position: X418
Gap Type: 1, Length: 1, Start Position: X426
Gap Type: 1, Length: 1, Start Position: X428
Gap Type: 1, Length: 5, Start Position: X431
Gap Type: 1, Length: 2, Start Position: X439
Gap Type: 1, Length: 1, Start Position: X443
Gap Type: 1, Length: 4, Start Position: X446
Gap Type: 1, Length: 1, Start Position: X451
Gap Type: 1, Length: 1, Start Position: X455
Gap Type: 1, Length: 1, Start Position: X457
Gap Type: 1, Length: 1, Start Position: X461
Gap Type: 1, Length: 2, Start Position: X463
Gap Type: 1, Length: 3, Start Position: X468
Gap Type: 1, Length: 2, Start Position: X473
Gap Type: 1, Length: 1, Start Position: X477
Gap Type: 1, Length: 2, Start Position: X482
Gap Type: 1, Length: 1, Start Position: X486
Gap Type: 1, Length: 2, Start Position: X488
Gap Type: 1, Length: 3, Start Position: X491
Gap Type: 1, Length: 3, Start Position: X495
Gap Type: 1, Length: 1, Start Position: X501
Gap Type: 1, Length: 2, Start Position: X505
Gap Type: 1, Length: 4, Start Position: X510
Gap Type: 1, Length: 1, Start Position: X515
Gap Type: 1, Length: 1, Start Position: X517
Gap Type: 1, Length: 1, Start Position: X520
Gap Type: 1, Length: 4, Start Position: X523
Gap Type: 1, Length: 5, Start Position: X528
Gap Type: 1, Length: 1, Start Position: X534
Gap Type: 1, Length: 4, Start Position: X536
Gap Type: 1, Length: 2, Start Position: X543
Gap Type: 1, Length: 2, Start Position: X548
Gap Type: 1, Length: 2, Start Position: X553
Gap Type: 1, Length: 1, Start Position: X556
Gap Type: 1, Length: 2, Start Position: X559
Gap Type: 1, Length: 4, Start Position: X564
Gap Type: 1, Length: 2, Start Position: X569
Gap Type: 1, Length: 2, Start Position: X573
Gap Type: 1, Length: 1, Start Position: X576
Gap Type: 1, Length: 4, Start Position: X578
Gap Type: 1, Length: 2, Start Position: X584
Gap Type: 1, Length: 4, Start Position: X587
Gap Type: 1, Length: 3, Start Position: X595
Gap Type: 1, Length: 1, Start Position: X599
Gap Type: 1, Length: 1, Start Position: X601
Gap Type: 1, Length: 2, Start Position: X606
Gap Type: 1, Length: 1, Start Position: X609
Gap Type: 1, Length: 1, Start Position: X612
Gap Type: 1, Length: 2, Start Position: X616
Gap Type: 1, Length: 6, Start Position: X620
Gap Type: 1, Length: 2, Start Position: X628
Gap Type: 1, Length: 1, Start Position: X631
Gap Type: 1, Length: 2, Start Position: X634
Gap Type: 1, Length: 3, Start Position: X637
Gap Type: 1, Length: 1, Start Position: X642
Gap Type: 1, Length: 2, Start Position: X644
Gap Type: 1, Length: 2, Start Position: X648
Gap Type: 1, Length: 1, Start Position: X652
Gap Type: 1, Length: 4, Start Position: X654
Gap Type: 1, Length: 1, Start Position: X659
Gap Type: 1, Length: 1, Start Position: X661
Gap Type: 1, Length: 5, Start Position: X663
Gap Type: 1, Length: 1, Start Position: X669
Gap Type: 1, Length: 2, Start Position: X672
Gap Type: 1, Length: 3, Start Position: X675
Gap Type: 1, Length: 3, Start Position: X679
Gap Type: 1, Length: 1, Start Position: X691
Gap Type: 1, Length: 1, Start Position: X693
Gap Type: 1, Length: 10, Start Position: X695
Gap Type: 1, Length: 1, Start Position: X706
Gap Type: 1, Length: 4, Start Position: X709
Gap Type: 1, Length: 1, Start Position: X715
Gap Type: 1, Length: 1, Start Position: X718
Gap Type: 1, Length: 1, Start Position: X723
Gap Type: 1, Length: 5, Start Position: X725
Gap Type: 1, Length: 1, Start Position: X732
Gap Type: 1, Length: 1, Start Position: X736
Gap Type: 1, Length: 2, Start Position: X738
Gap Type: 1, Length: 5, Start Position: X741
Gap Type: 1, Length: 1, Start Position: X747
Gap Type: 1, Length: 2, Start Position: X751
Gap Type: 1, Length: 1, Start Position: X756
Gap Type: 1, Length: 3, Start Position: X758
Gap Type: 1, Length: 3, Start Position: X762
Gap Type: 1, Length: 1, Start Position: X767
Gap Type: 1, Length: 1, Start Position: X770
Gap Type: 1, Length: 3, Start Position: X773
Gap Type: 1, Length: 2, Start Position: X777
Gap Type: 1, Length: 5, Start Position: X780
Gap Type: 1, Length: 3, Start Position: X787
Gap Type: 1, Length: 1, Start Position: X792
Gap Type: 1, Length: 2, Start Position: X795
Gap Type: 1, Length: 1, Start Position: X798
Gap Type: 1, Length: 1, Start Position: X800
Gap Type: 1, Length: 1, Start Position: X802
Gap Type: 1, Length: 2, Start Position: X804
Gap Type: 1, Length: 2, Start Position: X807
Gap Type: 1, Length: 2, Start Position: X811
Gap Type: 1, Length: 1, Start Position: X816
Gap Type: 1, Length: 2, Start Position: X819
Gap Type: 1, Length: 2, Start Position: X822
Gap Type: 1, Length: 1, Start Position: X828
Gap Type: 1, Length: 1, Start Position: X832
Gap Type: 1, Length: 1, Start Position: X834
Gap Type: 1, Length: 1, Start Position: X836
Gap Type: 1, Length: 1, Start Position: X838
Gap Type: 1, Length: 2, Start Position: X840
Gap Type: 1, Length: 1, Start Position: X844
Gap Type: 1, Length: 1, Start Position: X849
Gap Type: 1, Length: 2, Start Position: X853
Gap Type: 1, Length: 2, Start Position: X862
Gap Type: 1, Length: 1, Start Position: X865
Gap Type: 1, Length: 2, Start Position: X868
Gap Type: 1, Length: 1, Start Position: X873
Gap Type: 1, Length: 2, Start Position: X878
Gap Type: 1, Length: 1, Start Position: X881
Gap Type: 1, Length: 3, Start Position: X885
Gap Type: 1, Length: 1, Start Position: X889
Gap Type: 1, Length: 2, Start Position: X892
Gap Type: 1, Length: 1, Start Position: X895
Gap Type: 1, Length: 4, Start Position: X898
Gap Type: 1, Length: 2, Start Position: X904
Gap Type: 1, Length: 1, Start Position: X909
Gap Type: 1, Length: 1, Start Position: X912
Gap Type: 1, Length: 3, Start Position: X917
Gap Type: 1, Length: 2, Start Position: X921
Gap Type: 1, Length: 1, Start Position: X924
Gap Type: 1, Length: 5, Start Position: X926
Gap Type: 1, Length: 2, Start Position: X933
Gap Type: 1, Length: 1, Start Position: X936
Gap Type: 1, Length: 1, Start Position: X939
Gap Type: 1, Length: 1, Start Position: X941
Gap Type: 1, Length: 1, Start Position: X947
Gap Type: 1, Length: 1, Start Position: X949
Gap Type: 1, Length: 2, Start Position: X951
Gap Type: 1, Length: 1, Start Position: X956
Gap Type: 1, Length: 1, Start Position: X960
Gap Type: 1, Length: 2, Start Position: X964
Gap Type: 1, Length: 1, Start Position: X968
Gap Type: 1, Length: 5, Start Position: X971
Gap Type: 1, Length: 4, Start Position: X978
Gap Type: 1, Length: 4, Start Position: X984
Gap Type: 1, Length: 1, Start Position: X989
Gap Type: 1, Length: 2, Start Position: X991
Gap Type: 1, Length: 1, Start Position: X996
Gap Type: 1, Length: 3, Start Position: X1000
Gap Type: 1, Length: 2, Start Position: X1006
Gap Type: 1, Length: 1, Start Position: X1009
Gap Type: 1, Length: 2, Start Position: X1011
Gap Type: 1, Length: 3, Start Position: X1014
Gap Type: 1, Length: 2, Start Position: X1020
Gap Type: 1, Length: 2, Start Position: X1023
Gap Type: 1, Length: 4, Start Position: X1026
Gap Type: 1, Length: 1, Start Position: X1031
Gap Type: 1, Length: 2, Start Position: X1035
Gap Type: 1, Length: 1, Start Position: X1038
Gap Type: 1, Length: 1, Start Position: X1041
Gap Type: 1, Length: 1, Start Position: X1043
Gap Type: 1, Length: 2, Start Position: X1045
Gap Type: 1, Length: 7, Start Position: X1049
Gap Type: 1, Length: 1, Start Position: X1058
Gap Type: 1, Length: 1, Start Position: X1060
Gap Type: 1, Length: 1, Start Position: X1062
Gap Type: 1, Length: 2, Start Position: X1065
Gap Type: 1, Length: 1, Start Position: X1071
Gap Type: 1, Length: 3, Start Position: X1075
Gap Type: 1, Length: 1, Start Position: X1084
Gap Type: 1, Length: 1, Start Position: X1086
Gap Type: 1, Length: 1, Start Position: X1088
Gap Type: 1, Length: 1, Start Position: X1090
Gap Type: 1, Length: 2, Start Position: X1093
Gap Type: 1, Length: 3, Start Position: X1096
Gap Type: 1, Length: 1, Start Position: X1100
Gap Type: 1, Length: 1, Start Position: X1102
Gap Type: 1, Length: 1, Start Position: X1113
Gap Type: 1, Length: 1, Start Position: X1117
Gap Type: 1, Length: 1, Start Position: X1119
Gap Type: 1, Length: 3, Start Position: X1122
Gap Type: 1, Length: 5, Start Position: X1127
Gap Type: 1, Length: 1, Start Position: X1133
Gap Type: 1, Length: 3, Start Position: X1137
Gap Type: 1, Length: 1, Start Position: X1141
Gap Type: 1, Length: 3, Start Position: X1144
Gap Type: 1, Length: 3, Start Position: X1150
Gap Type: 1, Length: 1, Start Position: X1157
Gap Type: 1, Length: 1, Start Position: X1166
Gap Type: 1, Length: 1, Start Position: X1169
Gap Type: 1, Length: 1, Start Position: X1171
Gap Type: 1, Length: 1, Start Position: X1173
Gap Type: 1, Length: 4, Start Position: X1175
Gap Type: 1, Length: 7, Start Position: X1181
Gap Type: 1, Length: 2, Start Position: X1189
Gap Type: 1, Length: 1, Start Position: X1192
Gap Type: 1, Length: 3, Start Position: X1194
Gap Type: 1, Length: 4, Start Position: X1198
Gap Type: 1, Length: 1, Start Position: X1206
Gap Type: 1, Length: 2, Start Position: X1208
Gap Type: 1, Length: 7, Start Position: X1211
Gap Type: 1, Length: 2, Start Position: X1219
Gap Type: 1, Length: 1, Start Position: X1222
Gap Type: 1, Length: 2, Start Position: X1224
Gap Type: 1, Length: 2, Start Position: X1227
Gap Type: 1, Length: 2, Start Position: X1230
Gap Type: 1, Length: 1, Start Position: X1235
Gap Type: 1, Length: 5, Start Position: X1237
Gap Type: 1, Length: 1, Start Position: X1243
Gap Type: 1, Length: 1, Start Position: X1246
Gap Type: 1, Length: 1, Start Position: X1251
Gap Type: 1, Length: 2, Start Position: X1256
Gap Type: 1, Length: 3, Start Position: X1261
Gap Type: 1, Length: 9, Start Position: X1265
Gap Type: 1, Length: 5, Start Position: X1275
Gap Type: 1, Length: 1, Start Position: X1282
Gap Type: 1, Length: 2, Start Position: X1284
Gap Type: 1, Length: 4, Start Position: X1287
Gap Type: 1, Length: 1, Start Position: X1293
Gap Type: 1, Length: 2, Start Position: X1296
Gap Type: 1, Length: 1, Start Position: X1303
Gap Type: 1, Length: 1, Start Position: X1306
Gap Type: 1, Length: 1, Start Position: X1309
Gap Type: 1, Length: 1, Start Position: X1311
Gap Type: 1, Length: 2, Start Position: X1313
Gap Type: 1, Length: 4, Start Position: X1316
Gap Type: 1, Length: 6, Start Position: X1321
Gap Type: 1, Length: 2, Start Position: X1328
Gap Type: 1, Length: 2, Start Position: X1331
Gap Type: 1, Length: 3, Start Position: X1336
Gap Type: 1, Length: 4, Start Position: X1343
Gap Type: 1, Length: 1, Start Position: X1357
Gap Type: 1, Length: 1, Start Position: X1359
Gap Type: 1, Length: 2, Start Position: X1364
Gap Type: 1, Length: 2, Start Position: X1367
Gap Type: 1, Length: 1, Start Position: X1370
Gap Type: 1, Length: 3, Start Position: X1373
Gap Type: 1, Length: 2, Start Position: X1377
Gap Type: 1, Length: 1, Start Position: X1381
Gap Type: 1, Length: 1, Start Position: X1384
Gap Type: 1, Length: 4, Start Position: X1389
Gap Type: 1, Length: 1, Start Position: X1394
Gap Type: 1, Length: 1, Start Position: X1399
Gap Type: 1, Length: 2, Start Position: X1401
Gap Type: 1, Length: 1, Start Position: X1408
Gap Type: 1, Length: 1, Start Position: X1410
Gap Type: 1, Length: 1, Start Position: X1413
Gap Type: 1, Length: 1, Start Position: X1416
Gap Type: 1, Length: 1, Start Position: X1418
Gap Type: 1, Length: 3, Start Position: X1420
Gap Type: 1, Length: 1, Start Position: X1424
Gap Type: 1, Length: 2, Start Position: X1426
Gap Type: 1, Length: 8, Start Position: X1430
Gap Type: 1, Length: 1, Start Position: X1439
Gap Type: 1, Length: 1, Start Position: X1442
Gap Type: 1, Length: 1, Start Position: X1444
Gap Type: 1, Length: 2, Start Position: X1446
Gap Type: 1, Length: 6, Start Position: X1450
Gap Type: 1, Length: 3, Start Position: X1457
Gap Type: 1, Length: 1, Start Position: X1462
Gap Type: 1, Length: 1, Start Position: X1465
Gap Type: 1, Length: 1, Start Position: X1469
Gap Type: 1, Length: 2, Start Position: X1473
Gap Type: 1, Length: 1, Start Position: X1477
Gap Type: 1, Length: 1, Start Position: X1481
Gap Type: 1, Length: 3, Start Position: X1483
Gap Type: 1, Length: 1, Start Position: X1487
Gap Type: 1, Length: 2, Start Position: X1489
Gap Type: 1, Length: 1, Start Position: X1492
Gap Type: 1, Length: 1, Start Position: X1495
Gap Type: 1, Length: 3, Start Position: X1498
Gap Type: 1, Length: 5, Start Position: X1504
Gap Type: 1, Length: 2, Start Position: X1511
Gap Type: 1, Length: 1, Start Position: X1514
Gap Type: 1, Length: 2, Start Position: X1521
Gap Type: 1, Length: 1, Start Position: X1525
Gap Type: 1, Length: 7, Start Position: X1529
Gap Type: 1, Length: 1, Start Position: X1543
Gap Type: 1, Length: 1, Start Position: X1545
Gap Type: 1, Length: 2, Start Position: X1548
Gap Type: 1, Length: 1, Start Position: X1552
Gap Type: 1, Length: 2, Start Position: X1554
Gap Type: 1, Length: 2, Start Position: X1557
Gap Type: 1, Length: 3, Start Position: X1562
Gap Type: 1, Length: 3, Start Position: X1568
Gap Type: 1, Length: 1, Start Position: X1572
Gap Type: 1, Length: 2, Start Position: X1575
Gap Type: 1, Length: 1, Start Position: X1579
Gap Type: 1, Length: 2, Start Position: X1590
Gap Type: 1, Length: 6, Start Position: X1593
Gap Type: 1, Length: 4, Start Position: X1600
Gap Type: 1, Length: 2, Start Position: X1605
Gap Type: 1, Length: 1, Start Position: X1608
Gap Type: 1, Length: 2, Start Position: X1611
Gap Type: 1, Length: 2, Start Position: X1615
Gap Type: 1, Length: 2, Start Position: X1618
Gap Type: 1, Length: 2, Start Position: X1624
Gap Type: 1, Length: 1, Start Position: X1627
Gap Type: 1, Length: 2, Start Position: X1633
Gap Type: 1, Length: 2, Start Position: X1636
Gap Type: 1, Length: 2, Start Position: X1639
Gap Type: 1, Length: 5, Start Position: X1642
Gap Type: 1, Length: 2, Start Position: X1649
Gap Type: 1, Length: 1, Start Position: X1655
Gap Type: 1, Length: 1, Start Position: X1657
Gap Type: 1, Length: 1, Start Position: X1661
Gap Type: 1, Length: 1, Start Position: X1663
Gap Type: 1, Length: 1, Start Position: X1666
Gap Type: 1, Length: 1, Start Position: X1671
Gap Type: 1, Length: 2, Start Position: X1673
Gap Type: 1, Length: 4, Start Position: X1676
Gap Type: 1, Length: 1, Start Position: X1681
Gap Type: 1, Length: 3, Start Position: X1684
Gap Type: 1, Length: 4, Start Position: X1690
Gap Type: 1, Length: 1, Start Position: X1695
Gap Type: 1, Length: 1, Start Position: X1702
Gap Type: 1, Length: 1, Start Position: X1706
Gap Type: 1, Length: 1, Start Position: X1708
Gap Type: 1, Length: 2, Start Position: X1713
Gap Type: 1, Length: 3, Start Position: X1717
Gap Type: 1, Length: 1, Start Position: X1722
Gap Type: 1, Length: 1, Start Position: X1725
Gap Type: 1, Length: 1, Start Position: X1727
Gap Type: 1, Length: 2, Start Position: X1729
Gap Type: 1, Length: 1, Start Position: X1734
Gap Type: 1, Length: 1, Start Position: X1736
Gap Type: 1, Length: 1, Start Position: X1739
Gap Type: 1, Length: 2, Start Position: X1741
Gap Type: 1, Length: 3, Start Position: X1744
Gap Type: 1, Length: 1, Start Position: X1749
Gap Type: 1, Length: 5, Start Position: X1751
Gap Type: 1, Length: 1, Start Position: X1758
Gap Type: 1, Length: 1, Start Position: X1760
Gap Type: 1, Length: 1, Start Position: X1763
Gap Type: 1, Length: 1, Start Position: X1765
Gap Type: 1, Length: 1, Start Position: X1769
Gap Type: 1, Length: 1, Start Position: X1772
Gap Type: 1, Length: 1, Start Position: X1774
Gap Type: 1, Length: 3, Start Position: X1780
Gap Type: 1, Length: 1, Start Position: X1790
Gap Type: 1, Length: 2, Start Position: X1792
Gap Type: 1, Length: 1, Start Position: X1795
Gap Type: 1, Length: 1, Start Position: X1797
Gap Type: 1, Length: 1, Start Position: X1802
Gap Type: 1, Length: 2, Start Position: X1804
Gap Type: 1, Length: 5, Start Position: X1807
Gap Type: 1, Length: 2, Start Position: X1813
Gap Type: 1, Length: 2, Start Position: X1816
Gap Type: 1, Length: 1, Start Position: X1822
Gap Type: 1, Length: 2, Start Position: X1824
Gap Type: 1, Length: 1, Start Position: X1829
Gap Type: 1, Length: 2, Start Position: X1831
Gap Type: 1, Length: 1, Start Position: X1835
Gap Type: 1, Length: 1, Start Position: X1842
Gap Type: 1, Length: 3, Start Position: X1847
Gap Type: 1, Length: 1, Start Position: X1852
Gap Type: 1, Length: 3, Start Position: X1854
Gap Type: 1, Length: 1, Start Position: X1858
Gap Type: 1, Length: 3, Start Position: X1862
Gap Type: 1, Length: 1, Start Position: X1867
Gap Type: 1, Length: 4, Start Position: X1870
Gap Type: 1, Length: 1, Start Position: X1876
Gap Type: 1, Length: 3, Start Position: X1880
Gap Type: 1, Length: 5, Start Position: X1886
Gap Type: 1, Length: 2, Start Position: X1895
Gap Type: 1, Length: 4, Start Position: X1898
Gap Type: 1, Length: 1, Start Position: X1903
Gap Type: 1, Length: 1, Start Position: X1907
Gap Type: 1, Length: 2, Start Position: X1909
Gap Type: 1, Length: 1, Start Position: X1912
Gap Type: 1, Length: 1, Start Position: X1915
Gap Type: 1, Length: 2, Start Position: X1918
Gap Type: 1, Length: 1, Start Position: X1922
Gap Type: 1, Length: 2, Start Position: X1925
Gap Type: 1, Length: 2, Start Position: X1928
Gap Type: 1, Length: 3, Start Position: X1931
